"Designator","Comment","Footprint","Qty","LCSC Part #"
"AE1","2450AT18A100E","OpenRX-Shared:ANT-SMD_L3.2-W1.6","1","C89334"
"C1,C3","15pF","Capacitor_SMD:C_0201_0603Metric","2","C85891"
"C2,C23,C24","47p","Capacitor_SMD:C_0201_0603Metric","3","C85908"
"C4,C10,C17,C25,C27,C28,C31","1uF","Capacitor_SMD:C_0201_0603Metric","7","C76935"
"C5,C6,C9,C12,C13,C14,C16","100nF","Capacitor_SMD:C_0201_0603Metric","7","C76939"
"C7","10pF","Capacitor_SMD:C_0201_0603Metric","1","C384956"
"C8,C18","10uF","Capacitor_SMD:C_0402_1005Metric","2","C15525"
"C11","10uF","Capacitor_SMD:C_0402_1005Metric","1","C76991"
"C15","47pF","Capacitor_SMD:C_0201_0603Metric","1","C85908"
"C19","2.2nF","Capacitor_SMD:C_0201_0603Metric","1","C161488"
"C20","470nF","Capacitor_SMD:C_0201_0603Metric","1","C85926"
"C21","220pF","Capacitor_SMD:C_0201_0603Metric","1","C907939"
"C22","1n","Capacitor_SMD:C_0201_0603Metric","1","C85934"
"C26","10nF","Capacitor_SMD:C_0201_0603Metric","1","C2168164"
"C29,C30","1.2pF","Capacitor_SMD:C_0201_0603Metric","2","C85895"
"D1","XL-1010RGBC-WS2812B","OpenRX-Shared:LED-SMD_4P-L1.0-W1.0-TL_XL-1010RGBC-WS2812B","1",""
"FL1","2450FM07D0034T","OpenRX-Shared:FILTER-SMD_4P-L1.0-W0.5-L","1",""
"J1","Conn_Coaxial_Small","Connector_Coaxial:U.FL_Hirose_U.FL-R-SMT-1_Vertical","1","C88374"
"L1","10uH","Inductor_SMD:L_0603_1608Metric","1","C194437"
"L2","24nH","Inductor_SMD:L_0201_0603Metric","1","C206441"
"L3","2.0nH","Inductor_SMD:L_0201_0603Metric","1","C86125"
"L4","2.5nH","Inductor_SMD:L_0201_0603Metric","1","C206435"
"L5","47nH","Inductor_SMD:L_0402_1005Metric","1","C192855"
"OSC1","OW7EL89CENUYO3YLC-32M","OpenRX-Shared:OSC-SMD_4P-L2.0-W1.6-BL_TXC_7Z","1",""
"R1","200","Resistor_SMD:R_0201_0603Metric","1","C274337"
"R2,R3,R4,R5","10k","Resistor_SMD:R_0201_0603Metric","4","C106225"
"R6","220","Resistor_SMD:R_0201_0603Metric","1","C2074788"
"R7,R8","100k","Resistor_SMD:R_0201_0603Metric","2","C106224"
"T1","0900PC16J0042001E","OpenRX-Shared:FILTER-SMD_10P-L2.0-W1.6-BL","1",""
"TP1","RX","OpenRX-Shared:SolderPad_1.2x2.0mm","1",""
"TP2","TX","OpenRX-Shared:SolderPad_1.2x2.0mm","1",""
"TP3","5V","OpenRX-Shared:SolderPad_1.2x2.0mm","1",""
"TP4","GND","OpenRX-Shared:SolderPad_1.2x2.0mm","1",""
"TP5","BOOT","OpenRX-Shared:SolderPad_1.2x2.0mm","1",""
"U1","ESP32-C3","Package_DFN_QFN:QFN-32-1EP_5x5mm_P0.5mm_EP3.7x3.7mm","1",""
"U2","TLV75533PDQNR","OpenRX-Shared:X2SON-4_L1.0-W1.0-P0.65-TL-EP","1","C2861882"
"U3","LR1121IMLTRT","Package_DFN_QFN:QFN-32-1EP_5x5mm_P0.5mm_EP3.7x3.7mm","1",""
"U4","RFX2401C","OpenRX-Shared:QFN-16_L3.0-W3.0-P0.50-BL-EP1.7","1",""
"U5","SKY13373-460LF","OpenRX-Shared:QFN-12_EP_2x2_Pitch0.5mm","1",""
"X1","CJ17-400001010B20","OpenRX-Shared:CRYSTAL-SMD_4P-L1.6-W1.2-BL","1","C2875272"
