Designator,Mid X,Mid Y,Layer,Rotation
AE1,101.1000,-104.8500,bottom,-90.00
C1,103.1500,-104.6000,bottom,-90.00
C3,105.9500,-104.8000,bottom,90.00
C5,108.4500,-112.0500,bottom,0.00
C6,103.8500,-111.4500,bottom,-90.00
C8,101.0500,-114.2500,bottom,0.00
C10,100.4000,-113.0500,bottom,90.00
C14,103.1500,-110.2000,bottom,0.00
C15,103.1500,-109.5000,bottom,0.00
C16,107.2125,-112.9500,bottom,90.00
C17,101.2500,-111.8000,bottom,0.00
C18,101.0500,-110.9500,bottom,0.00
C19,103.1500,-108.8000,bottom,180.00
C21,107.1500,-104.0500,bottom,0.00
C27,103.1500,-111.2500,bottom,-90.00
C28,103.3000,-113.9500,bottom,180.00
C29,109.2500,-105.1500,bottom,0.00
C30,108.6500,-103.0500,bottom,0.00
C31,107.1500,-103.3500,bottom,0.00
L1,105.5500,-113.3000,bottom,180.00
L2,105.0000,-103.4500,bottom,0.00
L4,108.4500,-104.1000,bottom,-90.00
R2,101.4500,-110.0000,bottom,0.00
R3,101.2500,-107.9500,bottom,-90.00
R4,107.9500,-114.2500,bottom,0.00
R5,103.3000,-113.2500,bottom,180.00
TP5,109.2500,-114.3500,bottom,180.00
U1,106.9500,-108.6000,bottom,180.00
U2,101.3500,-112.9500,bottom,-90.00
X1,104.5500,-104.6500,bottom,0.00
C2,102.2000,-108.3500,top,-90.00
C4,109.6000,-107.0500,top,-90.00
C7,101.1500,-109.8000,top,180.00
C9,109.6000,-110.5500,top,-90.00
C11,109.4500,-112.2000,top,-90.00
C12,100.7500,-109.0500,top,180.00
C13,102.4500,-113.9500,top,180.00
C20,105.1000,-114.2000,top,180.00
C22,105.4000,-102.2500,top,180.00
C23,106.7500,-101.1500,top,180.00
C24,103.0000,-103.8000,top,180.00
C25,109.1000,-108.1000,top,180.00
C26,108.9000,-107.0500,top,-90.00
D1,100.8500,-107.9000,top,0.00
FL1,107.7000,-106.4500,top,45.00
J1,102.2000,-101.3000,top,90.00
L3,109.6000,-109.1500,top,-90.00
L5,102.8000,-107.1500,top,0.00
OSC1,101.3500,-112.2000,top,90.00
R1,102.6500,-106.3000,top,0.00
R6,102.2000,-110.1000,top,-90.00
R7,109.6000,-105.6500,top,90.00
R8,109.4000,-101.1000,top,-90.00
T1,104.8000,-106.3500,top,0.00
TP1,101.1900,-117.3000,top,0.00
TP2,103.7300,-117.3000,top,0.00
TP3,106.2700,-117.3000,top,0.00
TP4,108.8100,-117.3000,top,0.00
U3,105.6500,-110.7500,top,0.00
U4,108.0000,-103.4000,top,0.00
U5,104.9000,-103.8000,top,90.00
