Ref,Val,Package,PosX,PosY,Rot,Side
"AE1","2450AT18A100E","ANT-SMD_L3.2-W1.6",101.100000,-104.850000,-90.000000,bottom
"C1","15pF","C_0201_0603Metric",103.150000,-104.600000,-90.000000,bottom
"C3","15pF","C_0201_0603Metric",105.950000,-104.800000,90.000000,bottom
"C5","100nF","C_0201_0603Metric",108.450000,-112.050000,0.000000,bottom
"C6","100nF","C_0201_0603Metric",103.850000,-111.450000,-90.000000,bottom
"C8","10uF","C_0402_1005Metric",101.050000,-114.250000,0.000000,bottom
"C10","1uF","C_0201_0603Metric",100.400000,-113.050000,90.000000,bottom
"C14","100nF","C_0201_0603Metric",103.150000,-110.200000,0.000000,bottom
"C15","47pF","C_0201_0603Metric",103.150000,-109.500000,0.000000,bottom
"C16","100nF","C_0201_0603Metric",107.212500,-112.950000,90.000000,bottom
"C17","1uF","C_0201_0603Metric",101.250000,-111.800000,0.000000,bottom
"C18","10uF","C_0402_1005Metric",101.050000,-110.950000,0.000000,bottom
"C19","2.2nF","C_0201_0603Metric",103.150000,-108.800000,180.000000,bottom
"C21","220pF","C_0201_0603Metric",107.150000,-104.050000,0.000000,bottom
"C27","1uF","C_0201_0603Metric",103.150000,-111.250000,-90.000000,bottom
"C28","1uF","C_0201_0603Metric",103.300000,-113.950000,180.000000,bottom
"C29","1.2pF","C_0201_0603Metric",109.250000,-105.150000,0.000000,bottom
"C30","1.2pF","C_0201_0603Metric",108.650000,-103.050000,0.000000,bottom
"C31","1uF","C_0201_0603Metric",107.150000,-103.350000,0.000000,bottom
"L1","10uH","L_0603_1608Metric",105.550000,-113.300000,180.000000,bottom
"L2","24nH","L_0201_0603Metric",105.000000,-103.450000,0.000000,bottom
"L4","2.5nH","L_0201_0603Metric",108.450000,-104.100000,-90.000000,bottom
"R2","10k","R_0201_0603Metric",101.450000,-110.000000,0.000000,bottom
"R3","10k","R_0201_0603Metric",101.250000,-107.950000,-90.000000,bottom
"R4","10k","R_0201_0603Metric",107.950000,-114.250000,0.000000,bottom
"R5","10k","R_0201_0603Metric",103.300000,-113.250000,180.000000,bottom
"TP5","BOOT","SolderPad_1.2x2.0mm",109.250000,-114.350000,180.000000,bottom
"U1","ESP32-C3","QFN-32-1EP_5x5mm_P0.5mm_EP3.7x3.7mm",106.950000,-108.600000,180.000000,bottom
"U2","TLV75533PDQNR","X2SON-4_L1.0-W1.0-P0.65-TL-EP",101.350000,-112.950000,-90.000000,bottom
"X1","CJ17-400001010B20","CRYSTAL-SMD_4P-L1.6-W1.2-BL",104.550000,-104.650000,0.000000,bottom
"C2","47p","C_0201_0603Metric",102.200000,-108.350000,-90.000000,top
"C4","1uF","C_0201_0603Metric",109.600000,-107.050000,-90.000000,top
"C7","10pF","C_0201_0603Metric",101.150000,-109.800000,180.000000,top
"C9","100nF","C_0201_0603Metric",109.600000,-110.550000,-90.000000,top
"C11","10uF","C_0402_1005Metric",109.450000,-112.200000,-90.000000,top
"C12","100nF","C_0201_0603Metric",100.750000,-109.050000,180.000000,top
"C13","100nF","C_0201_0603Metric",102.450000,-113.950000,180.000000,top
"C20","470nF","C_0201_0603Metric",105.100000,-114.200000,180.000000,top
"C22","1n","C_0201_0603Metric",105.400000,-102.250000,180.000000,top
"C23","47p","C_0201_0603Metric",106.750000,-101.150000,180.000000,top
"C24","47p","C_0201_0603Metric",103.000000,-103.800000,180.000000,top
"C25","1uF","C_0201_0603Metric",109.100000,-108.100000,180.000000,top
"C26","10nF","C_0201_0603Metric",108.900000,-107.050000,-90.000000,top
"D1","XL-1010RGBC-WS2812B","LED-SMD_4P-L1.0-W1.0-TL_XL-1010RGBC-WS2812B",100.850000,-107.900000,0.000000,top
"FL1","2450FM07D0034T","FILTER-SMD_4P-L1.0-W0.5-L",107.700000,-106.450000,45.000000,top
"J1","Conn_Coaxial_Small","U.FL_Hirose_U.FL-R-SMT-1_Vertical",102.200000,-101.300000,90.000000,top
"L3","2.0nH","L_0201_0603Metric",109.600000,-109.150000,-90.000000,top
"L5","47nH","L_0402_1005Metric",102.800000,-107.150000,0.000000,top
"OSC1","OW7EL89CENUYO3YLC-32M","OSC-SMD_4P-L2.0-W1.6-BL_TXC_7Z",101.350000,-112.200000,90.000000,top
"R1","200","R_0201_0603Metric",102.650000,-106.300000,0.000000,top
"R6","220","R_0201_0603Metric",102.200000,-110.100000,-90.000000,top
"R7","100k","R_0201_0603Metric",109.600000,-105.650000,90.000000,top
"R8","100k","R_0201_0603Metric",109.400000,-101.100000,-90.000000,top
"T1","0900PC16J0042001E","FILTER-SMD_10P-L2.0-W1.6-BL",104.800000,-106.350000,0.000000,top
"TP1","RX","SolderPad_1.2x2.0mm",101.190000,-117.300000,0.000000,top
"TP2","TX","SolderPad_1.2x2.0mm",103.730000,-117.300000,0.000000,top
"TP3","5V","SolderPad_1.2x2.0mm",106.270000,-117.300000,0.000000,top
"TP4","GND","SolderPad_1.2x2.0mm",108.810000,-117.300000,0.000000,top
"U3","LR1121IMLTRT","QFN-32-1EP_5x5mm_P0.5mm_EP3.7x3.7mm",105.650000,-110.750000,0.000000,top
"U4","RFX2401C","QFN-16_L3.0-W3.0-P0.50-BL-EP1.7",108.000000,-103.400000,0.000000,top
"U5","SKY13373-460LF","QFN-12_EP_2x2_Pitch0.5mm",104.900000,-103.800000,90.000000,top
